Ticker,PE,PB,ROE,RevenueGrowth,DebtToEquity
TKO,77.02661,4.183549,0.08129,-0.273,42.785
TMO,32.57939,4.051295,0.13024001,0.072,73.566
TMUS,18.243294,3.6473765,0.19034,0.089,200.622
TPL,51.30486,17.555813,0.3937,0.17,1.292
TPR,96.87787,65.35016,0.16053,0.131,1051.139
TRGP,27.159458,15.95206,0.4985,0.078,615.121
TRMB,46.620686,2.7775495,0.06131,0.029,24.038
TROW,11.424865,2.1369786,0.1867,0.06,4.09
TRV,10.360889,1.8812196,0.20698999,0.035,28.172
TSCO,24.69903,10.407037,0.45183998,0.033,230.228
TSLA,398.52777,19.656118,0.049250003,-0.031,17.763
TSN,49.1203,1.2751796,0.0276,0.022,53.19
TT,32.0564,10.933811,0.36956,0.056,53.658
TTD,35.26744,5.653309,0.16783,0.177,14.456
TTWO,27.895151,11.856197,-0.86609,0.311,102.325
TXN,40.139668,12.013711,0.30148,0.104,86.327
TXT,17.199219,1.9806567,0.12242,0.156,49.854
TYL,52.922634,4.4105883,0.091680005,0.097,17.86
UAL,10.191236,2.1894124,0.23987,0.048,203.089
UBER,41.910995,5.917794,0.72994006,0.204,45.755
UDR,84.43182,3.8020675,0.03649,0.066,144.858
UHS,9.524846,1.7539456,0.20028,0.134,70.037
ULTA,24.209423,10.941419,0.47967,0.129,97.784
UNH,15.22175,2.6087153,0.12538,0.123,77.08
UNP,19.494196,7.542993,0.40377,-0.006,177.733
UPS,16.142857,5.5574737,0.33772,-0.032,175.884
URI,20.244886,5.502311,0.28357,0.028,174.732
USB,12.197826,1.4943937,0.12184,0.053,
V,30.218779,16.06419,0.53954,0.146,54.612
VICI,10.6768055,1.0845048,0.10357001,0.044,62.925
VLO,23.966974,2.3296394,0.082779996,0.039,39.561
VLTO,27.043716,8.63248,0.37978,0.068,100.772
VMC,35.316097,4.5420747,0.13520999,0.144,56.296
VRSK,33.455387,80.45135,0.026813299999999998,0.059,1295.046
VRSN,28.498251,-11.06515,,0.073,
VRTX,33.44484,6.8903327,0.22307,0.11,10.594
VST,58.431736,19.614767,0.1731,-0.209,335.784
VTR,143.83333,2.9495308,0.021559998,0.218,100.11
VTRS,5.2768,0.9971054,-0.21087,0.002,97.03
VZ,10.965517,1.7972629,0.17069,0.02,171.781
WAB,33.79442,3.5600035,0.11147001,0.084,51.131
WAT,34.48558,9.468012,0.32987,0.08,66.042
WBD,144.94737,1.893955,0.00969,-0.06,89.857
WDAY,73.48535,5.221955,0.073359996,0.126,42.719
WDC,23.651228,11.96414,0.41126,,
WEC,20.920605,2.653257,0.12807,0.129,151.448
WELL,128.13605,3.324802,0.0275,0.306,46.211
WFC,14.478399,1.7011317,0.11732,0.05,
WM,33.31934,8.967437,0.29696,0.071,229.276
WMB,34.849743,6.583146,0.16902,0.083,188.338
WMT,40.941578,9.883856,0.23661,0.058,66.747
WRB,15.342283,2.658655,0.19600001,0.015,31.481
WSM,22.663345,11.914881,0.56918997,0.046,70.88
WST,34.49552,5.4456773,0.16945,0.077,9.93
WTW,15.197224,3.9421108,0.27633,-0.0,75.685
WY,57.28889,1.9706467,0.03384,-0.098,59.113
WYNN,24.146069,-29.897049,,0.083,
XEL,23.11854,2.1238098,0.09449001,0.074,167.891
XOM,21.104477,2.2781098,0.110810004,-0.013,16.329
XYL,35.625324,2.9955456,0.08555,0.078,18.253
XYZ,12.511388,1.6357632,0.14692001,0.023,36.049
YUM,30.31189,-5.760113,,0.084,
ZBH,21.39312,1.3528169,0.06421,0.097,64.523
ZBRA,23.97755,3.181812,0.14286,0.052,62.984
